"","names","contbr_city","contbr_st","n","location","lat","lon"
"1","Webb","ADDISON","TX",2," ADDISON",41.9317,-87.98896
"2","Webb","ADVANCE","NC",1," ADVANCE",37.1045,-89.91065
"3","Webb","ALBANY","CA",1," ALBANY",42.60018,-73.97356
"4","Webb","ALBUQUERQUE","NM",1," ALBUQUERQUE",35.08449,-106.65114
"5","Webb","ALEXANDRIA","VA",36," ALEXANDRIA",31.21564,29.95527
"6","Webb","ALTADENA","CA",3," ALTADENA",34.18973,-118.13118
"7","Webb","ANN ARBOR","MI",2," ANN ARBOR",42.27756,-83.74088
"8","Webb","ANNANDALE","VA",1," ANNANDALE",38.83039,-77.19637
"9","Webb","ANNAPOLIS","MD",2," ANNAPOLIS",38.97845,-76.49218
"10","Webb","APTOS","CA",2," APTOS",36.97717,-121.8994
"11","Webb","ARDMORE","OK",1," ARDMORE",34.17426,-97.14363
"12","Webb","ARLINGTON","VA",31," ARLINGTON",32.73569,-97.10807
"13","Webb","ARROYO GRANDE","CA",1," ARROYO GRANDE",35.11859,-120.59073
"14","Webb","ASHBURN","VA",5," ASHBURN",39.04372,-77.48749
"15","Webb","ASHEVILLE","NC",4," ASHEVILLE",35.60095,-82.55402
"16","Webb","ASHLAND","OR",1," ASHLAND",40.84602,-82.27069
"17","Webb","AUGUSTA","GA",2," AUGUSTA",48.36667,10.88333
"18","Webb","AUSTIN","TX",6," AUSTIN",30.26715,-97.74306
"19","Webb","AZLE","TX",2," AZLE",32.89513,-97.54586
"20","Webb","BAINBRIDGE ISLAND","WA",4," BAINBRIDGE ISLAND",47.62621,-122.52124
"21","Webb","BALTIMORE","MD",6," BALTIMORE",39.44307,-76.61632
"22","Webb","BANGOR","ME",1," BANGOR",54.65338,-5.66895
"23","Webb","BATON ROUGE","LA",2," BATON ROUGE",30.45075,-91.15455
"24","Webb","BAY SHORE","NY",3," BAY SHORE",40.7251,-73.24539
"25","Webb","BAYFIELD","CO",1," BAYFIELD",37.22556,-107.59811
"26","Webb","BEACH HAVEN","NJ",1," BEACH HAVEN",39.55928,-74.2432
"27","Webb","BEAR CREEK","PA",2," BEAR CREEK",60.16417,-149.395
"28","Webb","BEAUFORT","SC",3," BEAUFORT",32.35706,-80.69217
"29","Webb","BEDFORD","MA",1," BEDFORD",52,-0.5
"30","Webb","BELLEVUE","WA",1," BELLEVUE",47.61038,-122.20068
"31","Webb","BELMONT","CA",1," BELMONT",40.0158,-80.98854
"32","Webb","BELMONT","MA",1," BELMONT",40.0158,-80.98854
"33","Webb","BENNINGTON","VT",1," BENNINGTON",42.87813,-73.19677
"34","Webb","BERKELEY","CA",3," BERKELEY",33.19768,-79.95099
"35","Webb","BEVERLY HILLS","CA",1," BEVERLY HILLS",34.07362,-118.40036
"36","Webb","BEVERLY HILLS","MI",1," BEVERLY HILLS",34.07362,-118.40036
"37","Webb","BIRMINGHAM","MI",1," BIRMINGHAM",52.4813678,-1.8980725
"38","Webb","BLACKSBURG","VA",2," BLACKSBURG",37.22957,-80.41394
"39","Webb","BLOCK ISLAND","RI",1," BLOCK ISLAND",41.19177,-71.5745
"40","Webb","BLUE ISLAND","IL",1," BLUE ISLAND",41.65726,-87.68005
"41","Webb","BOISE","ID",1," BOISE",43.6135,-116.20345
"42","Webb","BOSTON","MA",2," BOSTON",42.35843,-71.05977
